카테고리,칼로리(kcal),당류(g),카페인(mg),단백질(g)
차,1,0,68,0
커피,11,0,62,0.6
커피,3,0,157,0.5
차,10,1,50,0
주스,151,36,0,1.8
커피,198,25,73,9.6
커피,15,0,126,0.1
주스,148,29,0,0.8
주스,180,40,0,0.1
차,4,1,25,0
주스,149,21,0,1.3
차,8,1,22,0
주스,127,26,0,1.9
주스,157,25,0,0.1
주스,106,38,0,1.2
커피,114,12,69,9.4
차,5,1,16,0
커피,309,30,83,6.5
주스,161,35,0,0.3
주스,98,39,0,0.1
커피,14,0,66,0.7
주스,130,21,0,0.1
커피,292,34,69,6.9
차,10,0,43,0
차,7,0,61,0
주스,133,23,0,0.5
커피,226,9,98,9.4
커피,215,15,89,7.7
차,8,0,23,0
차,9,1,28,0
차,5,0,52,0
주스,98,21,0,1.7
차,8,0,60,0
커피,206,23,65,11.0
주스,175,35,0,0.4
차,3,0,20,0
커피,14,0,179,0.4
차,3,0,19,0
주스,121,35,0,1.6
커피,11,0,90,0.7
차,7,0,63,0
차,10,0,22,0
차,8,0,53,0
커피,13,0,68,0.0
주스,121,22,0,0.9
차,5,0,49,0
차,1,0,68,0
커피,276,15,83,7.5
차,4,0,18,0
주스,99,36,0,0.5
커피,160,37,91,5.6
주스,164,37,0,0.1
커피,141,29,77,8.2
커피,106,25,85,6.9
커피,283,10,95,7.1
커피,3,0,47,0.1
차,3,0,19,0
커피,202,25,63,6.6
커피,10,0,190,0.3
주스,114,37,0,0.9
차,9,1,48,0
커피,8,0,194,0.3
차,1,0,64,0
주스,145,31,0,0.8
커피,9,0,64,0.4
주스,172,23,0,0.1
커피,7,0,102,0.2
커피,3,0,80,0.7
주스,159,20,0,1.9
차,8,0,52,0
차,4,0,47,0
커피,275,17,64,5.3
차,2,0,48,0
주스,151,26,0,1.7
차,10,1,53,0
주스,97,25,0,0.8
커피,216,40,94,6.8
차,4,0,58,0
차,10,0,24,0
주스,114,23,0,0.2
주스,120,32,0,0.2
주스,155,22,0,1.7
차,4,1,57,0
커피,8,0,111,0.2
주스,139,28,0,1.9
커피,6,0,169,0.6
주스,120,25,0,0.8
주스,160,23,0,0.1
차,1,1,39,0
주스,144,25,0,0.6
