타임스탬프,닉네임,아침저녁형,MBTI,급식만족도,잔소리집중도,반려동물수,숙제성실도
2026. 7. 30 오후 1:02:23,무지개마스터40,저녁형,J,8,4,0,6
2026. 7. 30 오후 12:36:35,우유킹,아침형,J,6,4,0,5
2026. 7. 30 오후 1:03:07,다람쥐장인,아침형,P,10,2,0,7
2026. 7. 30 오후 1:00:12,아이스크림고수,저녁형,P,7,6,0,4
2026. 7. 30 오후 1:12:03,곰돌이덕후,아침형,P,7,7,2,7
2026. 7. 30 오후 12:59:59,곰돌이고수,저녁형,J,6,4,0,8
2026. 7. 30 오후 1:03:56,달빛누나,아침형,J,7,5,0,9
2026. 7. 30 오후 12:52:21,메추리요정,저녁형,J,10,7,0,6
2026. 7. 30 오후 12:48:43,우유탐험가80,저녁형,J,1,3,3,3
2026. 7. 30 오후 12:51:27,라면누나31,저녁형,J,3,5,3,7
2026. 7. 30 오후 12:47:43,다람쥐고수,아침형,P,4,2,1,3
2026. 7. 30 오후 12:22:17,토끼형아17,저녁형,P,4,2,0,9
2026. 7. 30 오후 12:27:17,수달챔피언,아침형,J,6,5,0,4
2026. 7. 30 오후 12:31:07,고양이마스터,저녁형,P,5,5,0,1
2026. 7. 30 오후 1:09:15,별똥별짱49,저녁형,P,7,4,0,8
2026. 7. 30 오후 12:53:44,잠꾸러기수집가,저녁형,J,3,5,0,5
2026. 7. 30 오후 12:46:45,아이스크림사장님,저녁형,P,3,1,2,8
2026. 7. 30 오후 12:59:28,무지개장인,저녁형,J,1,3,0,4
2026. 7. 30 오후 12:46:15,수달매니아18,아침형,P,9,5,0,3
2026. 7. 30 오후 12:42:52,잠꾸러기요원1,아침형,J,10,2,1,8
2026. 7. 30 오후 1:08:08,피자친구56,저녁형,J,3,9,2,4
2026. 7. 30 오후 12:33:52,솜사탕요원5,아침형,P,3,5,1,6
2026. 7. 30 오후 12:55:30,메추리탐험가,저녁형,P,5,7,1,8
2026. 7. 30 오후 1:10:05,펭귄덕후,저녁형,J,5,6,0,7
2026. 7. 30 오후 1:03:14,떡볶이챔피언,저녁형,P,7,4,1,5
2026. 7. 30 오후 1:04:35,달빛장인71,저녁형,J,4,5,5,6
2026. 7. 30 오후 1:10:25,무지개챔피언14,아침형,J,6,5,1,9
2026. 7. 30 오후 12:50:27,메추리킹,아침형,J,7,3,2,3
2026. 7. 30 오후 12:46:43,곰돌이형아,아침형,J,5,3,3,7
2026. 7. 30 오후 1:13:22,댕댕이짱48,저녁형,P,3,7,0,1
2026. 7. 30 오후 12:47:46,붕어빵킹84,아침형,P,5,3,0,6
2026. 7. 30 오후 12:31:28,고구마킹37,아침형,P,5,4,3,8
2026. 7. 30 오후 12:54:56,우유킹42,아침형,J,10,8,1,6
2026. 7. 30 오후 1:01:05,옥수수러버70,저녁형,P,2,7,0,5
2026. 7. 30 오후 12:33:36,구름요원,아침형,J,4,6,0,6
2026. 7. 30 오후 1:04:58,펭귄탐험가,저녁형,P,3,5,0,8
2026. 7. 30 오후 1:07:42,딸기수집가,저녁형,J,6,7,1,5
2026. 7. 30 오후 12:52:48,댕댕이매니아29,저녁형,J,1,7,0,5
2026. 7. 30 오후 12:37:38,초코마스터,아침형,J,6,10,1,6
2026. 7. 30 오후 1:16:17,젤리킹,저녁형,P,4,7,1,5
2026. 7. 30 오후 12:40:15,구름장인,아침형,P,9,4,2,4
2026. 7. 30 오후 12:59:58,솜사탕짱,저녁형,P,6,7,0,1
2026. 7. 30 오후 12:33:56,딸기누나75,아침형,J,3,3,0,4
2026. 7. 30 오후 12:47:13,고양이고수,아침형,J,6,3,0,8
2026. 7. 30 오후 1:07:31,구름누나56,아침형,J,5,5,0,6
2026. 7. 30 오후 12:27:41,메추리러버,아침형,P,9,3,0,3
2026. 7. 30 오후 1:05:15,젤리수집가10,아침형,J,8,7,0,7
2026. 7. 30 오후 1:11:52,다람쥐사장님28,저녁형,P,2,2,3,4
2026. 7. 30 오후 1:13:25,감자친구,아침형,P,7,2,2,7
2026. 7. 30 오후 12:48:59,고양이매니아,저녁형,J,4,9,1,5
2026. 7. 30 오후 12:22:29,펭귄러버,저녁형,J,5,3,0,7
2026. 7. 30 오후 1:15:44,솜사탕러버31,저녁형,J,9,9,0,6
2026. 7. 30 오후 12:19:44,토끼매니아10,저녁형,P,3,5,0,7
2026. 7. 30 오후 1:12:35,치킨누나64,저녁형,P,5,4,1,6
2026. 7. 30 오후 1:15:33,옥수수마스터,아침형,P,3,5,0,5
2026. 7. 30 오후 12:23:00,잠꾸러기수집가77,아침형,P,6,7,1,4
2026. 7. 30 오후 12:17:04,딸기짱85,저녁형,J,4,7,0,6
2026. 7. 30 오후 1:08:52,아이스크림러버,아침형,P,3,6,3,6
2026. 7. 30 오후 12:50:05,떡볶이킹,아침형,J,5,5,0,3
2026. 7. 30 오후 12:23:21,딸기덕후,아침형,J,6,10,1,10
2026. 7. 30 오후 12:27:30,만두친구94,저녁형,J,4,6,2,8
2026. 7. 30 오후 12:54:37,젤리형아,아침형,P,6,2,0,2
2026. 7. 30 오후 12:21:45,곰돌이누나71,아침형,J,2,9,1,7
2026. 7. 30 오후 12:37:22,무지개형아,저녁형,J,4,4,0,2
2026. 7. 30 오후 12:50:03,피자챔피언,아침형,J,4,5,0,8
